หมวด,รหัสสินค้า,เมนู/สาขา,HB01-ลาดพร้าว107,HB02-สามย่าน,HB03-นวมินทร์111,HB04-สะพานควาย,หมายเหตุ
Matcha Classic เมนูพิเศษเลือกสายพันธ์,HBC01M08C,Classic Clear Matcha Gyokuro Yame,,1,,,
,HBC01M04C,Classic Clear Matcha Uji Samidori,,,,,
,HBC01M03C,Classic Clear Matcha Uji Kazen,,,,,
,HBC01M06C,Classic Clear Matcha Uji Okumidori,,,1,,
,HBC01M05C,Classic Clear Matcha Kagoshima Hikari,,,,,
,HBC01M01C,Classic Clear Matcha Kagoshima Asanoka,2,4,3,,
,HBC01M09C,Classic Clear Matcha Organic Yabukita,,1,,,
,HBC01M02C,Classic Clear Matcha Kagoshima Shinju,,,,,
,HBC01M31C,Classic Clear Matcha Kagoshima Loishi,,,1,1,
,HBC01M10C,Classic Clear Matcha Yame Saemidori,5,2,3,8,
,HBC01M06C,Classic Clear Matcha Yame Okumidori,6,,,1,
,HBC01M26C,Classic Clear Matcha Kagoshima Okumidori,,,,1,
,HBC01M16C,Classic Clear Matcha Yame Saeakari,,,,,
,HBC01M12C,Classic Clear Matcha Yame First Harvest,,,,,
,HBC01M32C,Classic Clear Matcha Kagoshima Saemidori Baisen,,,,,
,HBC01M33C,Classic Clear Matcha Kagoshima Kanayamidori Baisen,,,,,
,HBC01M40C,Classic Clear Matcha O-Matcha Sou,,,3,,
,HBC01M42C,Classic Clear Matcha Fuji Yabukita Second Flush,,,,,
,HBC01M19C,Classic Clear Matcha Hibi Tsuchi Blend,,,,,
,HBC01M20C,Classic Clear Matcha Hibi Kumo Blend,,,,,
,HBC01M21C,Classic Clear Matcha Hibi Sayaka,,,,,
,HBC01M22C,Classic Clear Matcha Hibi Shizuku,,,,,
,HBC01M23C,Classic Clear Matcha Hibi Noko,,,,,
,HBC01M04L,Classic Matcha Latte Uji Samidori,,,,,
,HBC01M06L,Classic Matcha Latte Uji Okumidori,,1,,1,
,HBC01M26L,Classic Matcha Latte Kagoshima Okumidori ,,,1,2,
,HBC01M07L,Classic Matcha Latte Mie Matcha Seian,,,,,
,HBC01M10L,Classic Matcha Latte Yame Saemidori,1,8,12,2,
,HBC01M11L,Classic Matcha Latte Yame Okumidori,,6,12,4,
,HBC01M01L,Classic Matcha Latte Kagoshima Asanoka,1,3,1,,
,HBC01M30L,Classic Matcha Latte Kagoshima Loishi,,,1,1,
,HBC01M17L,Classic Matcha Latte Yame Fukamushi,,,,,
,HBC01M31L,Classic Matcha Latte Kagoshima Hiri,1,,2,,
,HBC01M15L,Classic Matcha Latte Yame Hojun,6,13,2,6,
,HBC01M32L,Classic Matcha Latte Kagoshima Saemidori Baisen,,,,,
,HBC01M33L,Classic Matcha Latte Kagoshima Kanayamidori Baisen,,,,,
,HBC01M34L,Classic Matcha Latte Kagoshima Okumidori Baisen,,,,,
,HBC01M42L,Classic Matcha Latte Fuji Yabukita Second Flush,,,,,
,HBC01M41L,Classic Matcha Latte Kakegawa-san Fukamushi-cha Powder Tsubaski,,,,,
,HBC01M40L,Classic Matcha Latte O-Matcha Sou,,,2,,
,HBC01M19L,Classic Matcha Latte Hibi Tsuchi Blend,,,,,
,HBC01M20L,Classic Matcha Latte Hibi Kumo Blend,,,,,
Hojicha,HBC02H02C,Classic Clear Hojicha Kokoro ,,1,2,,
,HBC02H01C,Classic Clear Hojicha Kaori,,3,5,,
,HBC02H04C,Classic Clear Kōbashii Hōjicha,,,,2,
,HBC02H05C,Classic Clear Shizuoka Maple Fumi Hojicha Powder,,,,,
,HBC02H06C,Classic Clear Hojicha Shinbai,,,,,
,HBC02H02L,Classic Hojicha Latte Kokoro ,,2,,,
,HBC02H01L,Classic Hojicha Latte Kaori,,,,,
,HBC02H04L,Classic Hojicha Latte Kōbashii Hōjicha,,,,1,
,HBC02H05L,Classic Hojicha Latte Shizuoka Maple Fumi Hojicha Powder,,,,,
,HBC02H06L,Classic Hojicha Latte Hojicha Shinbai,,,,,
Genmaicha,HBC03G01C,Classic Clear Genmaicha,,4,1,,
,HBC03G01L,Classic Genmaicha Latte,3,,2,2,
"Matcha Refreshers เครื่องดื่มสดชื่น







",HBR01M21C,Clear Matcha,10,79,31,23,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR01M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR01M21C"
,HBR02M21C,Matcha Honey Lemon (Home Made),2,5,9,3,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR02M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR02M21C"
,HBR03M21C,Matcha Honey Lime (Home Made),2,4,1,2,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR03M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR03M21C"
,HBR04M21C,Kirei Yuzu Matcha,3,3,5,5,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR04M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR04M21C"
,HBR05M21C,Kori Osmanthus Matcha,,8,1,,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR05M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR05M21C"
,HBR06M21C,Clear Matcha Coconut Jasmine Tea,3,5,2,10,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR06M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR06M21C"
,HBR07M21C,Clear Matcha Coconut,19,25,14,7,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR07M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR07M21C"
,HBR08H03C,Clear Hojicha,1,2,1,1,
,HBR09M21C,Clear Matcha Chrysanthemum,,3,1,,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR09M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR09M21C"
"Matcha  Milk & Rich เมนูนมครีมมี่







",HBM09M19L,Hibi Cold Whisk Latte,100,110,4,6,"สาขาลาดพร้าว107=HBM09M19L/สาขาสะพานควาย =HBM09M23L/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBM09M29L"
,HBM01M18L,Matcha Latte (Milk Whisk),42,171,44,67,
,HBM02M18L,Matcha Latte Milk Mochi,3,2,3,2,
,HBM03M18L,Osmanthus Matcha Latte,3,4,2,,
,HBM04M18L,Matcha Mango Latte,1,2,,1,
,HBM05M18L,Matcha Strawberry Latte,5,56,4,7,
,HBM06M18L,Matcha Milk Mochi Taro Latte,2,1,,,
,HBM07M18L,Matcha Milk Mochi Red Bean Latte,,1,,,
,HBM08H03L,Hojicha Latte (Milk Whisk),6,11,7,4,
"Fixed Recipe Menu เปลี่ยนนมไม่ได้




",HBF01,Coconut on Cloud,11,35,13,10,
,HBF02M18L,Coconut Milk Whisk Latte,3,23,7,,
,HBF03,Matcha Cloud Latte,7,12,,,
,HBF04,Matcha Cheesecake Cloud,,1,1,,
,HBF05M18L,Matcha Cream Cheese Latte,,4,4,1,
,HBF06M18L,Jasmine Thai Tea x Matcha Latte,,2,2,1,
"Hibi Crafted Matcha (Signature) สูตรพิเศษของฮิบิ








",HBS02M15L,Matcha Velvet Whisk Latte Cold Foam,,,7,22,
,HBS03M29L,Matcha Creamcheese Mochi Skewer,,,7,,
,HBS04H02L,Kokoro Hojicha Honey Comb Velvet,,,1,,
,HBS05H02L,Kokoro Hojicha Cheesecake Mochi,,,,,
,HBS06,Matcha Mango Pandan Cloud,,,,,
,HBS07M29,Pandan Coconut Matcha Velvet,,,,,
,HBS08M29,Pistachio Kunafa Matcha Luxe,,,,,
,HBS09M29,Matcha Tiramisu Lady,,,1,,
